Age,MonthlyCharges,TotalCharges,Tenure,Contract,PaymentMethod,InternetService,HasPhoneService,HasMultipleLines,SeniorCitizen,Churn
79,58.451937479663734,5124.835879132578,2,Month-to-month,Mailed check,DSL,1,0,0,1
54,68.74934719246204,1076.3567888519854,49,One year,Electronic check,DSL,1,0,0,0
50,29.38654918089803,1858.4591934127536,23,One year,Mailed check,No,0,0,0,0
34,58.841278453145264,2705.675328350011,18,Two year,Mailed check,No,0,0,0,0
22,88.16126832515127,1433.7902074008045,6,Two year,Electronic check,Fiber optic,1,0,1,1
67,74.0566362523622,201.4839218938631,34,One year,Electronic check,No,1,0,0,0
73,68.30461650507668,2717.963863019493,36,Month-to-month,Credit card,Fiber optic,1,0,0,0
21,63.77002856493332,1206.3718854790527,9,Month-to-month,Mailed check,No,0,0,0,1
20,80.98380945165006,354.24248233293287,51,Month-to-month,Bank transfer,Fiber optic,0,0,0,1
38,79.98231693201923,3227.135018277743,38,One year,Credit card,Fiber optic,0,0,0,0
57,21.343075478220534,5335.696179246859,61,Month-to-month,Electronic check,Fiber optic,1,1,0,1
20,72.78857152465665,3642.378457268307,24,Month-to-month,Bank transfer,Fiber optic,1,0,1,1
38,83.37251586976227,2120.351829299076,19,One year,Bank transfer,DSL,1,0,0,0
65,79.80530035264883,2053.695780315268,31,One year,Bank transfer,DSL,0,0,1,0
74,50.60233853449357,2056.1928244064525,41,Two year,Mailed check,No,0,0,0,0
79,62.38540209698807,757.1328381736383,19,Two year,Mailed check,Fiber optic,1,1,0,0
66,62.143467587493866,4339.572748832583,4,One year,Mailed check,DSL,1,1,1,1
25,37.4187076601967,2188.425029314249,47,Two year,Electronic check,DSL,1,0,0,0
59,76.89787730471726,1276.250465377651,55,One year,Electronic check,DSL,1,0,0,0
53,45.513967749333844,1285.2280974544908,60,One year,Credit card,Fiber optic,0,0,1,0
78,91.51702772942134,3084.6725146438293,26,Month-to-month,Mailed check,No,0,1,0,1
46,67.31908272697034,1038.4884775868154,62,Two year,Mailed check,DSL,0,1,1,0
70,57.694206640451014,741.3529207339241,39,Month-to-month,Credit card,DSL,1,1,0,0
56,60.49876465519014,2636.558570331705,33,Two year,Bank transfer,DSL,1,1,0,0
51,62.03797412403521,173.15886094602996,52,Month-to-month,Bank transfer,DSL,1,1,0,0
39,90.9966557066764,2345.6145022685123,34,Two year,Mailed check,DSL,0,0,0,0
72,81.59146970583006,318.33104892398455,23,One year,Mailed check,Fiber optic,0,0,0,0
48,57.921513589040366,4800.402734411035,32,One year,Credit card,Fiber optic,1,0,0,0
45,67.81331830193844,4195.613487699228,71,One year,Mailed check,No,0,0,0,0
52,56.41500037928297,3078.1608319867937,39,Two year,Bank transfer,Fiber optic,1,0,0,0
51,28.896645115703457,1162.8775697034655,70,One year,Mailed check,DSL,0,1,0,0
30,82.57251922292161,1382.8549550747678,5,Two year,Mailed check,No,1,0,0,1
58,52.951789340369196,3089.9473986748826,3,Two year,Credit card,DSL,1,1,0,1
21,70.93304279628471,3753.0028438010286,8,Month-to-month,Credit card,DSL,1,0,0,1
60,45.49008449460995,1072.2113175868628,39,One year,Mailed check,No,0,0,0,0
23,61.88301713666026,550.1356676538111,2,Two year,Bank transfer,Fiber optic,1,1,0,0
18,80.47388679817281,1556.1439326486666,51,One year,Mailed check,Fiber optic,1,1,0,1
29,48.836892590133054,2241.112750575372,7,One year,Electronic check,No,1,0,1,1
52,78.76803503606239,857.4613592907826,30,One year,Credit card,No,1,1,0,0
76,86.20511369501244,1136.3900174410398,66,Two year,Electronic check,No,1,0,0,1
28,58.50386267782167,629.209783002103,1,One year,Credit card,No,1,0,0,0
40,9.770080620246073,1317.389681303391,15,Month-to-month,Bank transfer,Fiber optic,0,0,0,0
31,62.390350930426834,2384.217630798245,53,One year,Bank transfer,Fiber optic,0,1,1,0
36,75.47787879841412,4150.264078399735,52,One year,Bank transfer,DSL,0,0,0,0
54,60.11474265599277,2336.183366522217,48,One year,Credit card,DSL,1,1,0,0
33,93.11849090270044,917.6768318792789,34,One year,Bank transfer,No,1,0,0,0
61,66.62994125742033,207.94073725777162,21,One year,Electronic check,Fiber optic,0,0,0,0
45,44.184291722287774,1228.5791820799782,58,Month-to-month,Credit card,No,1,0,0,0
79,39.45039576352829,133.85572886437726,60,One year,Bank transfer,Fiber optic,1,0,0,0
62,39.282978239020224,3360.139113634279,68,Month-to-month,Mailed check,No,0,1,0,0
48,106.66989214523595,3490.2354448890533,59,Month-to-month,Bank transfer,No,1,0,0,1
70,61.84922836549966,1854.3391841143198,34,Month-to-month,Electronic check,DSL,1,0,0,0
24,78.3135680952937,-7.161975009330246,41,Two year,Bank transfer,DSL,0,0,0,0
63,112.04778055285752,3662.816159980324,37,One year,Bank transfer,DSL,1,0,0,0
69,56.07834798134693,3314.1020013941234,41,Two year,Credit card,Fiber optic,1,0,0,0
44,61.56818763562648,260.324275254866,39,Two year,Electronic check,No,1,0,0,0
34,60.072714855457534,2775.484372611369,53,Month-to-month,Mailed check,No,0,0,0,1
24,47.59764729558677,1395.3514547657344,37,One year,Electronic check,Fiber optic,1,0,1,0
32,56.239233362758974,3052.026110703681,71,Month-to-month,Electronic check,DSL,0,0,0,0
70,83.68289486573018,3378.0810204006766,70,Month-to-month,Electronic check,DSL,1,1,0,1
57,50.56319673641774,-1064.3594893722573,19,Two year,Electronic check,DSL,1,1,0,0
29,54.4965376823098,2576.946661114208,25,Two year,Mailed check,Fiber optic,1,0,0,0
72,65.51592564026649,3385.5115009357887,64,Two year,Credit card,No,0,1,0,0
25,65.79811232880114,528.3478567302029,63,Two year,Electronic check,Fiber optic,1,0,0,0
19,68.3203924770018,3046.4772495823,18,Month-to-month,Credit card,DSL,1,1,0,1
61,68.43927323379891,628.0913491469953,50,Month-to-month,Bank transfer,No,1,0,0,0
76,55.5879555399426,1442.9412217530607,46,Month-to-month,Electronic check,DSL,1,1,0,0
55,45.515615428601144,1113.194001329495,66,One year,Credit card,No,1,0,0,0
73,58.49512967802171,2554.9447688773876,32,Month-to-month,Mailed check,No,1,0,0,1
43,98.387645979797,1074.2662090772228,26,Month-to-month,Bank transfer,DSL,1,1,0,1
68,74.36062776328187,4680.7241187423,53,Month-to-month,Electronic check,DSL,1,0,0,0
38,41.721729785461484,3178.863960852132,36,Month-to-month,Electronic check,DSL,1,1,0,0
74,80.77718362353411,4157.935398388046,11,Two year,Mailed check,DSL,1,1,0,1
67,116.76768981443087,1440.2211998883663,14,Two year,Mailed check,Fiber optic,0,1,0,0
30,99.17814994849893,3195.7722926162105,20,Two year,Mailed check,DSL,0,0,0,0
36,47.3455878703511,1417.7697821339946,40,Two year,Mailed check,No,0,0,0,0
35,92.31366253730289,5062.5339762830545,12,Month-to-month,Electronic check,Fiber optic,1,0,0,1
19,75.39899176093436,2172.024732185995,33,Two year,Credit card,Fiber optic,0,1,0,0
69,89.20320555934896,424.8748132530772,7,Month-to-month,Bank transfer,Fiber optic,0,1,1,1
62,66.09524726039298,1316.9653942521195,17,Month-to-month,Credit card,Fiber optic,0,1,0,1
71,54.12109109733485,5368.165276981659,62,Two year,Credit card,Fiber optic,0,0,0,0
59,69.06170632720881,3439.671903991636,67,Month-to-month,Bank transfer,Fiber optic,1,1,1,1
66,86.75359031206716,2702.301192157421,57,Two year,Credit card,No,1,1,0,1
74,65.84190470290561,1723.1256365940437,67,Month-to-month,Credit card,No,1,0,0,0
45,38.69776726160646,3050.14233550721,60,Two year,Mailed check,No,1,1,1,0
67,56.26532564577053,-778.8495537937954,60,One year,Mailed check,DSL,1,0,1,0
40,70.75626601918596,-253.16876642975183,9,Month-to-month,Credit card,DSL,1,0,0,1
21,56.58447465527496,1212.6370738481917,47,Month-to-month,Mailed check,Fiber optic,1,1,0,1
21,73.02528721500171,1695.7120672631409,19,Two year,Bank transfer,DSL,1,1,1,0
29,19.105239396815445,3292.028238960018,37,Two year,Bank transfer,No,1,0,0,0
39,78.68790582634689,619.5250782585427,49,One year,Electronic check,Fiber optic,1,0,1,0
43,79.8683860118757,2720.992672700021,7,Two year,Credit card,DSL,1,0,0,1
57,39.64901884545099,716.1878526752382,16,Month-to-month,Credit card,Fiber optic,1,0,0,0
59,86.2270259261417,1549.4448651133469,57,One year,Mailed check,No,1,0,0,0
52,66.52185590815657,4576.2521829955795,70,One year,Mailed check,Fiber optic,1,1,0,0
21,54.303586206032236,2529.866065986713,40,One year,Electronic check,DSL,1,1,0,0
29,65.47661834779885,1077.0680533596076,18,One year,Bank transfer,No,1,1,1,0
21,72.0769526476221,1654.7035083088235,27,Two year,Electronic check,Fiber optic,0,0,0,0
69,56.46759162813916,3067.331954064249,27,Month-to-month,Mailed check,Fiber optic,1,0,1,1
74,6.999015748736319,3202.916889804832,17,Month-to-month,Credit card,Fiber optic,1,0,0,1
48,56.99258034851238,3286.557943082878,5,One year,Bank transfer,No,1,0,0,1
24,41.834888812712094,3418.9356656246546,40,Month-to-month,Electronic check,DSL,1,1,0,1
27,45.478241699237415,2757.3387901247265,47,Month-to-month,Bank transfer,No,1,0,1,1
41,63.59976492854103,-445.9315456724733,32,Two year,Mailed check,Fiber optic,1,1,0,0
32,74.73211757670416,2935.8551507563056,63,Two year,Mailed check,DSL,1,0,0,0
56,71.35133624533282,3093.8669661637223,30,One year,Mailed check,DSL,0,1,0,0
37,81.46112964532531,727.5883928728448,18,One year,Credit card,No,1,1,0,0
75,66.15048775147615,-173.06727277860458,3,One year,Credit card,DSL,0,1,0,1
24,67.65219494784655,-1027.54409111008,49,One year,Credit card,Fiber optic,1,1,0,0
30,77.4570447763755,1308.4245767981188,55,One year,Bank transfer,DSL,1,0,1,0
72,81.31869619122958,2911.4640002901765,30,Two year,Mailed check,DSL,1,0,1,1
45,95.7143149620431,3934.1112453263218,20,Month-to-month,Credit card,DSL,1,0,0,1
56,79.86960530186118,2167.2736499800762,16,One year,Credit card,DSL,0,1,0,0
35,94.18901837799575,2396.407349828277,20,Two year,Electronic check,DSL,1,0,0,0
79,66.60689317571094,482.87091041255405,22,One year,Electronic check,Fiber optic,1,1,0,0
64,60.646103518156785,2727.1296780568236,22,One year,Bank transfer,Fiber optic,0,1,0,0
28,32.8894870444049,2927.0807736075776,38,One year,Bank transfer,DSL,0,1,0,0
53,24.922757617642777,511.04335389011237,37,One year,Credit card,DSL,0,0,0,0
70,38.197021411962965,2962.8674504609826,3,Two year,Bank transfer,DSL,1,1,0,1
53,66.42802998181385,4232.369743034013,26,Month-to-month,Credit card,No,0,1,0,0
19,43.99680588530055,2463.2338360954695,43,One year,Mailed check,No,0,0,1,0
65,104.25034428865187,4537.041836539222,59,Two year,Mailed check,Fiber optic,0,0,0,0
63,52.0877375205048,1008.452925319379,69,Two year,Electronic check,No,1,0,1,0
34,55.996230207091735,-871.1589113898592,8,Month-to-month,Bank transfer,DSL,1,0,0,1
23,65.94168091444388,2704.0207822882567,57,Two year,Credit card,DSL,0,1,0,0
58,63.21316614784873,3492.12374731077,40,One year,Mailed check,DSL,1,1,0,0
63,86.0739407549658,1551.1598351663938,26,Month-to-month,Mailed check,Fiber optic,1,1,0,1
40,50.17901201085364,2689.0759120156295,52,Month-to-month,Mailed check,Fiber optic,1,0,1,1
64,108.58090126112985,1533.111986651411,13,Two year,Credit card,Fiber optic,1,0,0,0
33,53.497872666881314,5457.542671832804,27,One year,Credit card,DSL,1,0,0,0
77,39.159665325444465,4298.630261782077,19,Month-to-month,Electronic check,No,1,0,0,0
58,71.03436335962358,2859.7420625324066,63,One year,Credit card,DSL,1,0,1,0
43,50.64614287324415,3693.6280817828297,14,Two year,Mailed check,No,1,1,0,0
63,62.79612149740869,777.8560061371338,7,Month-to-month,Electronic check,Fiber optic,1,1,0,1
67,37.333186602344284,2592.5185123010547,61,One year,Bank transfer,Fiber optic,0,1,0,0
18,55.66362142200947,-1715.06707718204,63,Month-to-month,Mailed check,DSL,1,1,0,0
53,48.856777545516444,290.4953283816696,30,Month-to-month,Mailed check,No,1,0,0,0
47,70.1841093142933,1207.745232413004,32,Month-to-month,Electronic check,No,0,1,0,0
19,97.51619390917263,-2416.608579952234,19,Two year,Credit card,No,1,1,1,1
37,97.27121732670686,2408.5523529191055,58,Month-to-month,Electronic check,No,1,0,0,1
22,42.56634647365283,-465.45389553837913,37,Two year,Electronic check,DSL,1,0,0,0
48,37.96275142784593,1633.7028468253823,31,Month-to-month,Credit card,No,1,0,0,0
25,88.02980429155366,2941.737904549195,71,Two year,Mailed check,Fiber optic,0,1,1,1
47,62.27079648027424,3247.2164149001446,28,Month-to-month,Credit card,No,1,0,0,0
56,38.636449736250015,-507.3110862341873,41,Month-to-month,Mailed check,No,0,1,0,0
78,48.976301991045986,2665.8568415454397,40,Two year,Bank transfer,No,1,0,0,0
19,38.82884400338444,3821.5462898300534,70,One year,Credit card,Fiber optic,1,1,0,0
70,63.96250199813466,358.8257921252251,65,Two year,Mailed check,DSL,1,1,0,0
30,77.12423165543142,-100.20749626433512,45,Month-to-month,Electronic check,Fiber optic,1,1,1,1
21,42.72687344070843,5345.960706556931,10,Month-to-month,Credit card,DSL,1,0,0,1
62,90.14568214052542,2959.0819237989867,68,One year,Credit card,Fiber optic,1,0,0,1
69,62.552474084773586,3691.1350874092873,8,Month-to-month,Bank transfer,DSL,0,1,0,1
25,65.61480148426011,456.97321483701745,7,One year,Electronic check,No,1,0,0,1
56,78.36978273631729,1184.547093955454,9,Two year,Mailed check,No,1,0,1,1
42,52.82004070888549,765.8204724786029,24,Month-to-month,Electronic check,DSL,1,0,0,0
24,62.43008330153651,174.8121002022027,53,One year,Credit card,Fiber optic,1,1,0,0
31,85.97145387779511,3639.6063356085124,27,Two year,Credit card,Fiber optic,1,1,0,0
46,37.437713136850654,-257.43427157866086,28,Two year,Electronic check,Fiber optic,0,1,0,0
62,48.582949908876806,1138.5969476138928,41,One year,Credit card,No,1,1,0,0
38,56.03095237604648,3631.3808856592705,19,One year,Electronic check,Fiber optic,1,1,0,0
54,54.73677968467389,2151.1243628203556,15,One year,Credit card,Fiber optic,1,1,0,0
73,89.08496772923799,2271.9320742010373,12,Two year,Bank transfer,Fiber optic,1,1,0,1
66,79.15549916821934,-396.4962521013211,30,Month-to-month,Bank transfer,Fiber optic,0,0,1,1
50,56.27297762845928,2644.8713892940223,9,One year,Credit card,No,0,0,0,1
75,73.0440385725359,-368.1715818637664,36,One year,Electronic check,DSL,1,0,1,0
58,97.94421346263223,1218.2961530897687,31,Month-to-month,Electronic check,Fiber optic,1,1,0,1
42,98.62090648186195,2934.4621530956806,24,Month-to-month,Electronic check,DSL,1,0,0,1
70,66.49173928984948,3826.116657624779,62,Month-to-month,Bank transfer,Fiber optic,1,1,0,0
76,69.42185192956408,1382.9433979680423,4,Two year,Mailed check,No,0,0,0,1
76,76.42121436608096,1299.7747708852457,25,Month-to-month,Mailed check,DSL,0,1,0,0
63,116.65565389870676,3120.055472296908,43,Two year,Credit card,Fiber optic,1,0,0,0
31,57.41722476319136,1976.984549368032,42,One year,Electronic check,Fiber optic,0,0,1,0
26,70.09421354150884,3565.4649592042147,15,Two year,Mailed check,Fiber optic,1,0,0,0
32,23.643608076690683,465.3564003904301,30,Two year,Electronic check,DSL,1,0,1,0
24,64.67661634470517,4393.24833887325,10,One year,Mailed check,Fiber optic,1,0,0,1
19,88.54205627966348,2891.2340006888517,56,Two year,Mailed check,Fiber optic,1,0,0,0
48,54.77664667197805,2770.388955680976,71,Month-to-month,Credit card,DSL,1,0,0,0
24,91.66839464802887,2433.1656539789747,3,Month-to-month,Credit card,DSL,1,0,1,1
58,53.38876563447698,3199.3596105422134,51,Two year,Credit card,No,0,1,0,0
73,88.6153819061687,2916.255509173635,55,Month-to-month,Mailed check,DSL,0,1,0,1
28,60.9136743587191,-362.9327008622556,1,Two year,Bank transfer,No,0,0,0,1
30,64.27857889612098,3163.3722430226367,8,Two year,Mailed check,Fiber optic,1,0,0,1
30,48.79924549712106,-7.688497257458571,7,Month-to-month,Electronic check,Fiber optic,1,1,0,1
43,30.87160681472154,1939.0543280572883,8,One year,Credit card,Fiber optic,1,0,0,1
60,60.19940415183415,3435.5783587620103,46,Month-to-month,Mailed check,DSL,1,1,0,0
77,47.00477147199992,3702.9315502564823,1,Two year,Mailed check,No,1,0,0,1
67,62.48039806655833,484.3171944504192,66,Two year,Electronic check,No,1,1,0,0
25,51.61355938856087,1729.2073375626053,67,Two year,Credit card,Fiber optic,1,1,1,0
31,47.82280202676564,2230.07193571603,59,One year,Mailed check,No,1,0,0,0
62,22.78191572852751,-20.601782050976738,12,Two year,Credit card,Fiber optic,1,0,1,0
77,60.87799143847502,1410.8352887472684,31,One year,Bank transfer,DSL,1,1,0,0
19,62.30710454002335,1145.0006414442712,51,Month-to-month,Mailed check,Fiber optic,1,1,0,0
73,95.79329644067823,4240.6049065459165,69,Month-to-month,Bank transfer,DSL,1,1,0,1
59,75.53015303295619,-1095.865041776405,18,One year,Mailed check,No,0,0,0,0
32,38.58167871259156,2585.114003321576,7,One year,Electronic check,Fiber optic,1,0,0,1
74,85.36077509883528,806.1857158847968,46,Month-to-month,Bank transfer,Fiber optic,0,1,0,1
41,46.17533722728522,1434.9243964087252,15,Two year,Bank transfer,DSL,0,0,0,0
51,66.96809025773635,3469.417316972403,24,Two year,Bank transfer,No,1,1,0,0
21,61.32294253377287,2086.8098065661325,33,One year,Bank transfer,DSL,1,0,0,0
35,65.01001552926442,1222.8378807778797,48,One year,Credit card,DSL,0,0,0,0
42,69.16361134306288,2614.0183954475374,9,Two year,Bank transfer,DSL,1,0,0,1
64,73.68718600555239,468.94050385542175,42,Two year,Mailed check,DSL,1,0,1,0
41,38.320222977839634,829.0105250793731,31,Two year,Mailed check,No,0,0,0,0
23,95.05305767079162,1730.8930791302296,64,Two year,Bank transfer,No,1,1,1,1
51,87.19923683157921,2521.399613177007,63,Two year,Credit card,Fiber optic,1,1,0,0
68,55.75152842452609,1743.3296541339155,1,Two year,Credit card,Fiber optic,1,1,0,0
55,67.4515961862549,109.30216437355811,33,One year,Electronic check,Fiber optic,1,0,0,0
20,45.000692142727246,361.1475618809896,9,Two year,Mailed check,Fiber optic,1,0,0,1
36,77.11089405024596,2536.454623046708,5,Month-to-month,Bank transfer,DSL,1,0,1,1
64,65.96301504129156,490.2409834253205,54,One year,Bank transfer,DSL,1,0,0,0
63,56.066758026628264,2677.1463057369347,11,One year,Credit card,No,1,1,0,1
75,71.5175612523464,3269.3500837297643,58,Two year,Mailed check,DSL,1,0,0,0
53,70.6732630886748,257.9427206392708,31,Month-to-month,Electronic check,No,1,0,0,0
36,70.96737585317294,10.017466794576713,43,One year,Electronic check,No,1,1,1,0
45,50.48884179305924,1153.3477619737532,33,One year,Mailed check,Fiber optic,0,0,1,0
64,44.60877743951524,3331.664604912737,29,One year,Electronic check,Fiber optic,1,1,0,0
72,85.84693396911176,3499.0967230042434,3,One year,Credit card,No,1,0,1,1
73,65.69338696907157,1882.2552921194563,56,Two year,Mailed check,No,1,0,1,0
27,49.53510574099635,2137.277328967817,53,Two year,Credit card,DSL,0,0,0,0
35,43.80003588187448,3145.588061371552,65,Month-to-month,Electronic check,Fiber optic,0,0,1,1
21,81.13325440269347,731.2260591539593,15,Two year,Mailed check,No,1,0,0,0
29,80.09102914988412,885.7420360717513,4,One year,Credit card,No,1,0,0,1
44,26.715575830068467,3394.637151208895,33,Two year,Mailed check,DSL,1,0,1,0
46,71.30351356291152,875.5432824110048,23,Two year,Mailed check,No,1,0,0,0
74,74.8551385197502,515.9095214261283,47,Two year,Credit card,No,1,1,0,0
29,51.518158211485506,1702.446861232311,62,Month-to-month,Bank transfer,Fiber optic,0,1,1,1
28,49.22693957926862,1521.1700411710951,62,Month-to-month,Electronic check,DSL,1,0,0,1
21,96.27439072384301,961.7944298021773,13,One year,Mailed check,Fiber optic,0,1,1,1
63,67.77683531992302,3280.8315914042387,40,Month-to-month,Credit card,No,1,0,0,1
76,65.53471753335504,315.1522063493852,35,One year,Electronic check,No,1,0,0,0
76,112.95410488673164,2030.5678732196764,26,Month-to-month,Credit card,DSL,1,0,0,1
77,94.01777567733043,4580.299542270014,51,One year,Electronic check,DSL,1,0,0,0
41,76.00664298777184,4133.8454707430255,4,One year,Bank transfer,Fiber optic,1,0,1,1
43,83.86869230928848,3409.9725572771104,44,Month-to-month,Credit card,Fiber optic,1,0,1,1
45,66.75900035965975,4132.185500658965,29,Month-to-month,Bank transfer,Fiber optic,1,0,0,0
75,48.77115135975472,3448.6514202236526,41,One year,Mailed check,No,1,1,0,0
64,81.28254479869376,1934.972465334461,61,One year,Mailed check,No,1,1,0,1
77,35.31131512320495,3480.98198125257,55,Two year,Credit card,Fiber optic,0,0,0,0
21,49.51754941727412,-1075.079040661433,2,One year,Bank transfer,Fiber optic,1,1,0,0
53,39.207882042394736,2205.486882646248,62,One year,Bank transfer,No,1,0,1,0
32,88.13362790903649,2878.9311945918307,49,Two year,Mailed check,Fiber optic,1,1,0,0
39,55.696641264223324,2594.712549087452,65,Two year,Bank transfer,DSL,1,0,0,0
77,71.12354968146255,3061.6122050990616,28,One year,Electronic check,DSL,1,0,0,0
72,73.83487795848818,1855.2431113718783,48,Two year,Electronic check,No,1,1,0,0
66,93.32081664712649,3734.363001290534,16,Month-to-month,Credit card,No,0,1,0,1
74,60.03233598788902,1106.4340920233326,14,Month-to-month,Credit card,No,0,1,0,0
41,89.10291543520026,3038.5960230884343,51,Two year,Bank transfer,No,1,1,1,1
41,83.20556828272227,3965.038960303685,62,One year,Credit card,DSL,1,1,0,0
54,106.81142734810143,2845.118527970696,24,Two year,Electronic check,Fiber optic,1,1,0,0
22,39.36610539910325,1195.6765381523398,29,Month-to-month,Bank transfer,No,1,0,0,1
23,68.52408344102656,4676.8993895807625,68,Two year,Electronic check,DSL,1,0,0,0
66,64.5784457151587,559.8060514401434,30,Month-to-month,Mailed check,DSL,1,0,0,0
74,65.5791229112713,3283.74976413888,71,One year,Electronic check,Fiber optic,1,1,0,0
78,75.70157635764242,542.9555128631674,60,Month-to-month,Bank transfer,DSL,1,0,1,1
27,68.67881538877218,2885.2334565487877,50,One year,Credit card,Fiber optic,1,1,1,0
20,50.90831253099664,1397.3128672884154,39,One year,Credit card,DSL,1,0,0,0
55,50.787799975272364,2566.7585453585702,51,Two year,Mailed check,Fiber optic,1,1,0,0
51,70.39956150602272,1131.552532155532,16,One year,Credit card,Fiber optic,1,0,0,0
23,70.79776806471456,3550.9594266837175,14,Two year,Credit card,DSL,1,1,0,0
78,39.06990313137711,4902.133626150414,57,Two year,Bank transfer,No,1,0,0,0
27,48.63011635277259,4026.650998095846,49,Two year,Credit card,No,1,1,1,0
33,44.65050565474104,2210.3297194281367,31,Two year,Credit card,Fiber optic,0,0,0,0
77,65.72187867750677,3238.766110643283,68,Two year,Mailed check,Fiber optic,1,0,1,0
46,62.02483827009199,1668.664361409679,44,Two year,Mailed check,DSL,0,1,0,0
20,57.14282625172086,3557.707445430854,47,One year,Credit card,Fiber optic,1,1,0,0
28,59.67400146842653,359.732274569628,45,One year,Bank transfer,No,0,1,1,0
54,70.32354883492306,2814.3143546423667,52,Month-to-month,Mailed check,No,1,1,0,0
21,34.70433683577723,2576.6323135643106,65,Two year,Credit card,Fiber optic,1,1,0,0
66,55.43975197519323,2286.0743807568297,30,Two year,Credit card,Fiber optic,1,1,0,0
21,77.80480132409967,4836.9484287654595,25,One year,Electronic check,No,1,0,0,0
41,44.58652649266459,597.3418446666418,16,Month-to-month,Electronic check,No,0,0,0,0
45,24.215125473650538,1524.9325162587838,54,Two year,Electronic check,No,1,1,0,0
73,61.76490524363056,2043.3461706500352,11,One year,Mailed check,DSL,1,0,0,1
52,67.07553621636137,753.8417978205702,52,Month-to-month,Credit card,DSL,0,0,0,0
55,46.463206549909984,1742.5154217897461,43,One year,Electronic check,Fiber optic,1,0,0,0
67,42.042720028648006,2559.522439679198,67,Two year,Bank transfer,No,1,0,0,0
41,32.75251470600019,-1238.2937299606,17,Two year,Credit card,No,1,0,0,0
39,46.4876901706507,2995.98939697867,58,Month-to-month,Bank transfer,DSL,1,0,0,0
43,33.90273255363985,1233.6940882794,16,Two year,Bank transfer,DSL,0,0,0,0
35,59.08854691602546,580.9644511195847,18,Month-to-month,Bank transfer,Fiber optic,0,0,0,0
76,65.67964825256023,1016.4079681754274,57,Month-to-month,Bank transfer,Fiber optic,1,1,0,0
20,31.27052657437745,2816.212350675223,64,One year,Electronic check,No,1,0,0,0
63,72.34696118848602,819.9367040118834,62,One year,Bank transfer,Fiber optic,1,1,0,0
28,86.90360064687451,4782.733831607612,16,Two year,Bank transfer,Fiber optic,1,0,0,1
26,87.3305793008373,2662.017731041006,59,Two year,Bank transfer,No,1,1,0,0
71,37.791936570769565,869.1760225383169,32,Month-to-month,Bank transfer,Fiber optic,0,0,0,0
50,59.058927708870385,-370.90098453291887,58,Two year,Credit card,Fiber optic,1,1,0,0
43,34.55315846955406,1542.4527671677386,37,Two year,Mailed check,Fiber optic,0,0,0,0
53,63.380938214716494,3067.2856032197487,19,One year,Credit card,DSL,1,1,0,0
21,82.08413650485429,1992.815411866132,70,Two year,Electronic check,DSL,0,0,0,1
69,54.286206014649316,1401.6977257387941,24,Two year,Mailed check,DSL,1,1,0,0
19,51.04711690848203,1718.292522210863,53,Two year,Electronic check,No,1,0,0,0
25,60.55497326118476,1910.5640846349936,5,Two year,Electronic check,DSL,0,0,0,0
24,72.44050588976337,926.1562824869345,4,Two year,Mailed check,No,0,1,0,1
53,58.729796450866814,5395.436366957254,41,One year,Mailed check,Fiber optic,1,1,0,0
