Drone,Time,North,East,Altitude,Vx,Vy
1, 0.13, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.13, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.13, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.13, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.13, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.14, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.14, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.14, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.14, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.14, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.15, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.15, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.15, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.15, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.15, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.16, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.16, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.16, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.16, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.16, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.17, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.17, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.17, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.17, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.17, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.18, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.18, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.18, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.18, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.18, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.19, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.19, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.19, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.19, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.19, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.20, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.20, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.20, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.20, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.20, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.21, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.21, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.21, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.21, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.21, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.22, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.22, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.22, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.22, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.22, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.23, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.23, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.23, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.23, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.23, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.24, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.24, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.24, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.24, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.24, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.25, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.25, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.25, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.25, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.25, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.26, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.26, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.26, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.26, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.26, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.27, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.27, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.27, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.27, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.27, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.28, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.28, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.28, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.28, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.28, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.29, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.29, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.29, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.29, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.29, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.30, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.30, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.30, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.30, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.30, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.31, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.31, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.31, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.31, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.31, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.32, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.32, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.32, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.32, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.32, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.33, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.33, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.33, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.33, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.33, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.34, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.34, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.34, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.34, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.34, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.35, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.35, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.35, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.35, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.35, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.36, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.36, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.36, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.36, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.36, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.37, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.37, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.37, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.37, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.37, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.38, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.38, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.38, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.38, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.38, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.39, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.39, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.39, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.39, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.39, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.40, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.40, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.40, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.40, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.40, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.41, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.41, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.41, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.41, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.41, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.42, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.42, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.42, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.42, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.42, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.43, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.43, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.43, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.43, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.43, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.44, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.44, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.44, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.44, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.44, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.45, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.45, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.45, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.45, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.45, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.46, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.46, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.46, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.46, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.46, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.47, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.47, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.47, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.47, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.47, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.48, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.48, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.48, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.48, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.48, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.49, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.49, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.49, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.49, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.49, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.50, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.50, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.50, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.50, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.50, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.51, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.51, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.51, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.51, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.51, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.52, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.52, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.52, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.52, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.52, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.53, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.53, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.53, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.53, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.53, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.54, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.54, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.54, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.54, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.54, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.55, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.55, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.55, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.55, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.55, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.56, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.56, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.56, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.56, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.56, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.57, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.57, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.57, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.57, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.57, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.58, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.58, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.58, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.58, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.58, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.59, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.59, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.59, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.59, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.59, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.60, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.60, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.60, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.60, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.60, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.61, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.61, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.61, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.61, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.61, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.62, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.62, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.62, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.62, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.62, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.63, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.63, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.63, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.63, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.63, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.64, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.64, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.64, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.64, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.64, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.65, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.65, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.65, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.65, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.65, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.66, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.66, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.66, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.66, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.66, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.67, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.67, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.67, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.67, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.67, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.68, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.68, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.68, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.68, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.68, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.69, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.69, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.69, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.69, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.69, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.70, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.70, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.70, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.70, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.70, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.71, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.71, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.71, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.71, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.71, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.72, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.72, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.72, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.72, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.72, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.73, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.73, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.73, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.73, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.73, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.74, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.74, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.74, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.74, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.74, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.75, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.75, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.75, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.75, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.75, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.76, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.76, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.76, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.76, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.76, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.77, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.77, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.77, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.77, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.77, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.78, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.78, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.78, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.78, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.78, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.79, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.79, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.79, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.79, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.79, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.80, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.80, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.80, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.80, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.80, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.81, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.81, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.81, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.81, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.81, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.82, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.82, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.82, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.82, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.82, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.83, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.83, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.83, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.83, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.83, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.84, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.84, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.84, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.84, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.84, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.85, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.85, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.85, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.85, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.85, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.86, 7.00, 10.71, -0.00, 0.85, 1.84
2, 0.86, 9.49, 65.08, -0.00, 1.70, 2.03
3, 0.86, 13.61, 191.32, -0.00, 2.80, -1.58
4, 0.86, 203.96, 18.37, -0.00, 0.70, 2.96
5, 0.86, 116.36, 249.57, -0.00, 2.52, -1.15
1, 0.87, 7.00, 10.71, -0.00, 0.85, 1.84
