text	curie	name	predicate	type	contributor	date	language
Bacharel em Administração	QUALO:0000166	bachelor of arts in business administration	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-28	pt
Bacharel em Ciência da Computação	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	pt
Bacharel em Ciências Biológicas	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		pt
Bacharel em Ciências Contábeis	QUALO:0000149	bachelor of science in accounting	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	pt
Bacharel em Direito	QUALO:0000032	bachelor of law	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	pt
Bacharel em Enfermagem	QUALO:0000025	bachelor of nursing	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	pt
Bacharel em Psicologia	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		pt
Bacharelado	QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	pt
Bacharelado em Direito	QUALO:0000032	bachelor of law	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	pt
Bacharelado em Enfermagem	QUALO:0000025	bachelor of nursing	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	pt
bachelor	QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-26	en
Bachelor degree	QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor degree in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor Degree in Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor Degree in Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor Degree in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor in Biological Sciences	QUALO:0000036	bachelor of science in biology	oboInOwl:hasRelatedSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor in Biology	QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor in Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor in Commerce	QUALO:0000180	bachelor of commerce	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor in Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor in Pharmacy	QUALO:0000027	bachelor of pharmacy	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor in Physics	QUALO:0000042	bachelor of science in physics	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor in Public Administration	QUALO:0000178	bachelor of public administration	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor in Science	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Arts (B.A.)	QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor of Arts (Honours)	QUALO:0000079	bachelor of arts with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Arts (Honours) in Psychology	QUALO:0000190	bachelor of arts in psychology with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor of Arts (Hons.)	QUALO:0000079	bachelor of arts with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor of Arts Honours in Psychology	QUALO:0000190	bachelor of arts in psychology with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor of Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Business Administration	QUALO:0000166	bachelor of arts in business administration	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-28	en
Bachelor of Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor of Commerce (Accounting)	QUALO:0000181	bachelor of commerce with honors	oboInOwl:hasNarrowSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor of Commerce (Finance)	QUALO:0000180	bachelor of commerce	oboInOwl:hasNarrowSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor of Commerce (Honours)	QUALO:0000181	bachelor of commerce with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor of Commerce (Hons)	QUALO:0000181	bachelor of commerce with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor of Commerce Honours	QUALO:0000181	bachelor of commerce with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor of Commerce in Economics	QUALO:0000180	bachelor of commerce	oboInOwl:hasNarrowSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor of Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor of Economics	QUALO:0000115	bachelor of arts in economics	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-28	en
Bachelor of Engineering (B.E)	QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor of Engineering (BE)	QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Medicine and Bachelor of Surgery	QUALO:0000033	bachelor of medicine; bachelor of surgery	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Medicine, Bachelor of Surgery	QUALO:0000033	bachelor of medicine; bachelor of surgery	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-26	en
Bachelor of Public Administration	QUALO:0000178	bachelor of public administration	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Science (B.Sc.)	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Science (Biochemistry)	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Science (BSc)	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Science (Chemistry)	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor of Science (Computer Science)	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor of Science (Honours)	QUALO:0000076	bachelor of science with honors	oboInOwl:hasExactSynonym	OMO:0003005	orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor of Science (Honours) in Psychology	QUALO:0000165	bachelor of science in psychology with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor of Science (Hons)	QUALO:0000076	bachelor of science with honors	oboInOwl:hasExactSynonym	OMO:0003005	orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Science - Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Science Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Science in Biochemistry and Molecular Biology	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasNarrowSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
bachelor of science in biomedical science	QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor of Science in Commerce	QUALO:0000180	bachelor of commerce	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor of Science with Honours	QUALO:0000076	bachelor of science with honors	oboInOwl:hasExactSynonym	OMO:0003005	orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor of Science, Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor of Science, Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor of Social Science in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasRelatedSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor of Social Sciences in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasRelatedSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor's	QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor's Degree in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor's Degree in Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor's Degree in Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor's Degree in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor's in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor's in Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor's in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor's of Science	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		en
Bachelor's of Science in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor's of Science in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
bachelorofeducation	QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelors in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelors in Commerce	QUALO:0000180	bachelor of commerce	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelors in Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelors in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelors of Arts	QUALO:0000031	bachelor of arts	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelors of Arts in Psychology	QUALO:0000128	bachelor of arts in psychology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelors of Commerce	QUALO:0000180	bachelor of commerce	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelors of Engineering	QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelors of Science	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		en
Bachelors of Science in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelors of Science in Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelors of Science in Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelors of Science in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelorstudium	QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		de
Bachelor´s Degree in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachelor’s degree in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
Bachelor’s degree in Biological Sciences	QUALO:0000036	bachelor of science in biology	oboInOwl:hasRelatedSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
Bachelor’s Degree in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasBroadSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
Bachiller	QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-28	
Bachiller en Educación	QUALO:0000029	bachelor of education	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	es
Bachlor	QUALO:0000003	bachelor's degree	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	
Bachlor of Science	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		en
BEng	QUALO:0000028	bachelor of engineering	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
bs	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		en
BS Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
bs c	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		en
BS Chemical Engineering	QUALO:0000050	bachelor of science in chemical engineering	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BS Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BS Electrical Engineering	QUALO:0000046	bachelor of science in electrical engineering	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BS in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
BS in Biochemistry and Molecular Biology	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasNarrowSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
BS in Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BS in Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BS in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
bsc	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym	OMO:0003000	orcid:0000-0003-4423-4370		en
bsc (honors)	QUALO:0000076	bachelor of science with honors	oboInOwl:hasExactSynonym	OMO:0003005	orcid:0000-0003-4423-4370	2024-10-27	en
bsc (honours)	QUALO:0000076	bachelor of science with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc (Hons) Psychology	QUALO:0000165	bachelor of science in psychology with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-28	en
BSc Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
BSc Biological Sciences	QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc Biology	QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc Biomedical Science	QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc Biomedical Sciences	QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc Biotechnology	QUALO:0000130	bachelor of science in biotechnology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
bsc candidate	QUALO:0000024	bachelor of science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		en
BSc Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc Geology	QUALO:0000044	bachelor of science in geology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc Honours	QUALO:0000076	bachelor of science with honors	oboInOwl:hasExactSynonym	OMO:0003005	orcid:0000-0003-4423-4370	2024-10-27	en
BSc Hons	QUALO:0000076	bachelor of science with honors	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc in Biochemistry	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
BSc in Biochemistry and Molecular Biology	QUALO:0000041	bachelor of science in biochemistry	oboInOwl:hasNarrowSynonym		orcid:0000-0003-4423-4370	2024-10-29	en
BSc in Biology	QUALO:0000036	bachelor of science in biology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc in Chemistry	QUALO:0000037	bachelor of science in chemistry	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc in Computer Science	QUALO:0000043	bachelor of science in computer science	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc in Physics	QUALO:0000042	bachelor of science in physics	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc in Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-30	en
BSc Mathematics	QUALO:0000049	bachelor of science in mathematics	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc Mechanical Engineering	QUALO:0000045	bachelor of science in mechanical engineering	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc Microbiology	QUALO:0000036	bachelor of science in biology	oboInOwl:hasNarrowSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc Physics	QUALO:0000042	bachelor of science in physics	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370	2024-10-27	en
BSc Psychology	QUALO:0000039	bachelor of science in psychology	oboInOwl:hasExactSynonym		orcid:0000-0003-4423-4370		en
